[grpo] Qwen/Qwen3-0.6B on complex_maze levels=[0, 1, 2, 3, 4] group=4 steps=80 smoke=False
[step 1] L1 mean_reward=0.1900 wins=0/4 parse_rate=0.85 std=0.0180 loss=-0.0082 gpu=3.5G t=01:21:12
[step 2] L2 mean_reward=0.2067 wins=0/4 parse_rate=0.90 std=0.0163 loss=-0.0368 gpu=3.5G t=01:21:38
[step 3] L3 mean_reward=0.1767 wins=0/4 parse_rate=0.82 std=0.0100 loss=0.0075 gpu=3.5G t=01:22:05
[step 4] L4 mean_reward=0.2817 wins=0/4 parse_rate=0.92 std=0.0247 loss=-0.0375 gpu=3.5G t=01:22:32
[step 5] L0 mean_reward=0.2133 wins=0/4 parse_rate=0.93 std=0.0067 loss=-0.0182 gpu=3.5G t=01:23:00
[step 6] L1 mean_reward=0.2217 wins=0/4 parse_rate=0.98 std=0.0029 loss=0.0023 gpu=3.5G t=01:23:31
[step 7] L2 mean_reward=0.2167 wins=0/4 parse_rate=0.97 std=0.0100 loss=-0.0089 gpu=3.5G t=01:23:58
[step 8] L3 mean_reward=0.2217 wins=0/4 parse_rate=0.98 std=0.0029 loss=0.0185 gpu=3.5G t=01:24:25
[step 9] L4 mean_reward=0.2867 wins=0/4 parse_rate=0.95 std=0.0125 loss=-0.0021 gpu=3.5G t=01:24:50
[step 10] L0 mean_reward=0.2117 wins=0/4 parse_rate=0.95 std=0.0144 loss=-0.0314 gpu=3.5G t=01:25:17
[step 11] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:25:36
[step 12] L2 mean_reward=0.2050 wins=0/4 parse_rate=0.95 std=0.0087 loss=-0.0222 gpu=3.5G t=01:26:03
[step 13] L3 mean_reward=0.2150 wins=0/4 parse_rate=0.98 std=0.0087 loss=-0.0099 gpu=3.5G t=01:26:30
[step 14] L4 mean_reward=0.3017 wins=0/4 parse_rate=1.00 std=0.0128 loss=-0.0044 gpu=3.5G t=01:26:56
[step 15] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:27:16
[step 16] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:27:35
[step 17] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:27:55
[step 18] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:28:15
[step 19] L4 mean_reward=0.3250 wins=0/4 parse_rate=1.00 std=0.0055 loss=0.0006 gpu=3.5G t=01:28:42
[step 20] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:29:01
[step 21] L1 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:29:20
[step 22] L2 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:29:39
[step 23] L3 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:29:59
[step 24] L4 mean_reward=0.2950 wins=0/4 parse_rate=1.00 std=0.0185 loss=-0.0038 gpu=3.5G t=01:30:25
[step 25] L0 mean_reward=0.2200 wins=0/4 parse_rate=1.00 std=1.0000 loss=0.0000 gpu=3.5G t=01:30:45
