[sweep] 25 games
[sweep] scorecard 5c422956-c6c9-4c56-beea-2751251b3c7b
[sweep] 1/25 ls20-9607627b score=1.0 levels=1 state=NOT_FINISHED err=None total_levels=1
[sweep] 2/25 tn36-ef4dde99 score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 3/25 ar25-0c556536 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 4/25 su15-1944f8ab score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 5/25 sp80-589a99af score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 6/25 ft09-0d8bbf25 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 7/25 r11l-495a7899 score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 8/25 sk48-d8078629 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 9/25 tu93-0768757b score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 10/25 wa30-ee6fef47 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 11/25 cd82-fb555c5d score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 12/25 tr87-cd924810 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 13/25 ka59-38d34dbb score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 14/25 sb26-7fbdac44 score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 15/25 g50t-5849a774 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 16/25 lp85-305b61c3 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 17/25 cn04-2fe56bfb score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 18/25 s5i5-18d95033 score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 19/25 lf52-271a04aa score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 20/25 dc22-fdcac232 score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 21/25 re86-8af5384d score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 22/25 vc33-5430563c score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 23/25 m0r0-492f87ba score=0.0 levels=0 state=NOT_FINISHED err=None total_levels=1
[sweep] 24/25 sc25-635fd71a score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
[sweep] 25/25 bp35-0a0ad940 score=0.0 levels=0 state=GAME_OVER err=None total_levels=1
